month,total_releases,milestone_releases,weighted_pressure,rolling_3m_pressure
2020-02-01,0,0,0,0.0
2020-03-01,0,0,0,0.0
2020-04-01,1,0,1,0.33
2020-05-01,2,1,4,1.67
2020-06-01,9,7,23,9.33
2020-07-01,0,0,0,9.0
2020-08-01,0,0,0,7.67
2020-09-01,0,0,0,0.0
2020-10-01,0,0,0,0.0
2020-11-01,0,0,0,0.0
2020-12-01,0,0,0,0.0
2021-01-01,3,1,5,1.67
2021-02-01,0,0,0,1.67
2021-03-01,1,0,1,2.0
2021-04-01,0,0,0,0.33
2021-05-01,1,0,1,0.67
2021-06-01,1,0,1,0.67
2021-07-01,1,0,1,1.0
2021-08-01,0,0,0,0.67
2021-09-01,0,0,0,0.33
2021-10-01,0,0,0,0.0
2021-11-01,0,0,0,0.0
2021-12-01,1,0,1,0.33
2022-01-01,4,0,4,1.67
2022-02-01,0,0,0,1.67
2022-03-01,3,1,5,3.0
2022-04-01,1,0,1,2.0
2022-05-01,0,0,0,2.0
2022-06-01,0,0,0,0.33
2022-07-01,1,0,1,0.33
2022-08-01,0,0,0,0.33
2022-09-01,1,0,1,0.67
2022-10-01,0,0,0,0.33
2022-11-01,0,0,0,0.33
2022-12-01,2,0,2,0.67
2023-01-01,1,0,1,1.0
2023-02-01,1,0,1,1.33
2023-03-01,4,2,8,3.33
2023-04-01,2,0,2,3.67
2023-05-01,0,0,0,3.33
2023-06-01,1,1,3,1.67
2023-07-01,1,1,3,2.0
2023-08-01,1,0,1,2.33
2023-09-01,2,2,6,3.33
2023-10-01,1,0,1,2.67
2023-11-01,6,2,10,5.67
2023-12-01,0,0,0,3.67
2024-01-01,3,0,3,4.33
2024-02-01,1,1,3,2.0
2024-03-01,4,3,10,5.33
2024-04-01,1,1,3,5.33
2024-05-01,1,1,3,5.33
2024-06-01,2,1,4,3.33
2024-07-01,2,1,4,3.67
2024-08-01,1,1,3,3.67
2024-09-01,2,2,6,4.33
2024-10-01,1,1,3,4.0
2024-11-01,1,1,3,4.0
2024-12-01,3,3,9,5.0
2025-01-01,4,3,10,7.33
2025-02-01,2,2,6,8.33
2025-03-01,3,2,7,7.67
2025-04-01,5,3,11,8.0
2025-05-01,5,1,7,8.33
2025-06-01,2,1,4,7.33
2025-07-01,1,1,3,4.67
2025-08-01,7,0,7,4.67
2025-09-01,3,1,5,5.0
2025-10-01,2,0,2,4.67
2025-11-01,6,0,6,4.33
2025-12-01,3,0,3,3.67
2026-01-01,0,0,0,3.0
2026-02-01,3,0,3,2.0
2026-03-01,4,0,4,2.33
2026-04-01,4,0,4,3.67
